lat,'long','epiteto_do_bicho'
-40.5121,-11.1817,1
-40.5121,-11.1817,1
-39.6105,-12.77,1
-39.6105,-12.77,1
-39.6105,-12.77,1
-39.6105,-12.77,1
-39.6105,-12.77,1
-38.2179,-9.4062,1
-38.2179,-9.4062,1
-38.2179,-9.4062,1
-38.2179,-9.4062,1
-38.2179,-9.4062,1
-41.5589,-12.5585,1
-41.5589,-12.5585,1
-41.5589,-12.5585,1
-41.5589,-12.5585,1
-41.5589,-12.5585,1
-39.5488,-12.9501,1
-39.5488,-12.9501,1
-39.5488,-12.9501,1
-39.5488,-12.9501,1
-42.0362,-14.8988,1
-42.0362,-14.8988,1
-41.3746,-13.0185,1
-41.3746,-13.0185,1
-41.1202,-11.5833,1
-41.1202,-11.5833,1
-41.1202,-11.5833,1
-40.1986,-10.2639,1
-40.1986,-10.2639,1
-40.1986,-10.2639,1
-47.0381,-14.4569,1
-43.8999,-19.6268,1
-43.8999,-19.6268,1
-43.8999,-19.6268,1
-44.1334,-15.0867,1
-44.1334,-15.0867,1
-42.899,-20.4128,1
-42.899,-20.4128,1
-42.899,-20.4128,1
-42.899,-20.4128,1
-42.899,-20.4128,1
-42.9426,-21.1201,1
-35.7004,-6.969,1
-35.7004,-6.969,1
-35.7004,-6.969,1
-35.7004,-6.969,1
-35.7004,-6.969,1
-35.9591,-7.1445,1
-35.9591,-7.1445,1
-36.1538,-6.4852,1
-36.1538,-6.4852,1
-36.1538,-6.4852,1
-37.083,-8.6165,1
-37.083,-8.6165,1
-37.083,-8.6165,1
-37.083,-8.6165,1
-37.083,-8.6165,1
-37.4385,-11.2686,1
-46.9805,-12.6778,1
-45.7143,-16.121,1
-45.7143,-16.121,1
-44.9663,-17.3625,1
-42.9031,-19.2751,1
-42.6946,-21.3892,1
-42.6946,-21.3892,1
-42.6093,-19.2814,1
-37.6604,-10.0691,1
-37.6604,-10.0691,1
-37.6604,-10.0691,1
-35.4931,-7.6089,1
-37.6604,-10.0691,1
-43.4112,-13.2514,1
-41.3899,-12.5617,1
-42.6668,-14.4609,1
-40.6966,-16.1786,1
-40.6966,-16.1786,1
-40.6966,-16.1786,1
-40.2683,-13.1761,1
-40.6966,-16.1786,1
-40.6966,-16.1786,1
-40.6966,-16.1786,1
-40.3497,-16.1897,1
-40.3497,-16.1897,1
-42.7825,-13.2348,1
-42.8248,-17.2543,1
-42.8248,-17.2543,1
-42.8248,-17.2543,1
-42.8248,-17.2543,1
-42.8248,-17.2543,1
-42.8248,-17.2543,1
-42.1981,-16.5894,1
-42.1981,-16.5894,1
-42.1981,-16.5894,1
-42.1981,-16.5894,1
-42.1981,-16.5894,1
-42.1981,-16.5894,1
-43.3806,-18.6049,1
-43.3806,-18.6049,1
-43.3806,-18.6049,1
-43.3806,-18.6049,1
-43.3806,-18.6049,1
-43.3806,-18.6049,1
-41.5026,-16.5586,1
-41.5026,-16.5586,1
-41.5026,-16.5586,1
-40.5536,-11.4606,1
-40.5536,-11.4606,1
-40.5536,-11.4606,1
-40.5536,-11.4606,1
-40.5536,-11.4606,1
-40.5536,-11.4606,1
-43.8582,-16.7286,1
-43.8582,-16.7286,1
-43.8582,-16.7286,1
-46.9805,-12.6778,1
-43.5846,-19.0194,1
-36.33,-9.777,1
-39.103,-13.939,1
-42.905,-16.554,1
